审计ID,模块,业务域,变更类型,迁移前路径,迁移后路径,Git状态,新增行,删除行,规范化代码相似度,依赖替换/Import变化,Android行为审计,平台边界,序列化/数据库影响,静态证据,风险,建议,验证状态,人工结论
CMP-0520,composeApp,依赖注入,移动并修改（Git 88%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/SettingThemePage.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/SettingThemePage.kt,R088,42,49,94%,"imports: android.content.ClipData,androidx.compose.material3,androidx.compose.runtime,androidx.compose.ui → androidx.compose.material3,androidx.compose.ui,me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 94%,commonMain；未发现 Java/Android import,序列化契约、JSON/DTO,git=R088; blob 0ea2a95ef8a7→9c55b05c63c4; sha256 995790ca0fd8→f6c4dd168dae,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0521,composeApp,共享UI,移动并修改（Git 89%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/SettingVM.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/SettingVM.kt,R089,0,2,96%,imports: me.rerere.rikkahub → —,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 96%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R089; blob a37852d8c865→2c586fe8ca9c; sha256 b45365f1e557→20efaa30e94a,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0522,composeApp,依赖注入,移动并修改（Git 85%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/SettingWebPage.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/SettingWebPage.kt,R085,45,49,87%,"imports: android.content.Intent,android.os.Build,androidx.compose.material3,androidx.compose.ui → androidx.compose.material3,me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 87%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R085; blob a2f1599d5aa1→4fc41ee84c02; sha256 be3000d75581→71388dc201bd,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0523,composeApp,共享UI,移动并修改（Git 67%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/components/ASRProviderConfigure.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/ASRProviderConfigure.kt,R067,72,72,85%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 85%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R067; blob 5cbc27d2f627→7ea37d2a1d7b; sha256 06f6765e7284→0473b4773ada,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0524,composeApp,共享UI,移动并修改（Git 85%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/components/BalanceOption.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/BalanceOption.kt,R085,10,11,93%,"imports: androidx.compose.material3,androidx.compose.ui,me.rerere.rikkahub → androidx.compose.ui,me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 93%,commonMain；未发现 Java/Android import,JSON/DTO,git=R085; blob ba444531fbf2→e7cc1890d794; sha256 080a7869a99f→2d71c5d28911,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0525,composeApp,共享UI,移动并修改（Git 51%）,app/src/main/java/me/rerere/rikkahub/ui/pages/assistant/detail/PropertyEditor.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/CustomRequestEditors.kt,R051,69,92,62%,"imports: androidx.compose.ui,me.rerere.highlight,me.rerere.rikkahub → androidx.compose.ui,me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 62%,commonMain；未发现 Java/Android import,序列化契约、JSON/DTO,git=R051; blob 2776eb8370c4→d0f03b11f9a7; sha256 ebe0e784f6f2→1e22790e63b1,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0526,composeApp,主题,移动并修改（Git 98%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/components/CustomThemeButton.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/CustomThemeButton.kt,R098,2,1,99%,imports: — → me.rerere.rikkahub,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R098; blob b57b640335ee→0fb70355ac4f; sha256 76e4e162e8d1→52dc79327767,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0527,composeApp,主题,移动并修改（Git 98%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/components/PresetThemeButton.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/PresetThemeButton.kt,R098,1,1,100%,imports: androidx.compose.ui → org.jetbrains.compose,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 100%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R098; blob a49ed08ee705→bd98b355ce5c; sha256 13b5ac149a01→feeda64d55a9,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0528,composeApp,共享UI,移动并修改（Git 79%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/components/ProviderConfigure.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/ProviderConfigure.kt,R079,87,64,87%,OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 87%,commonMain；未发现 Java/Android import,JSON/DTO,git=R079; blob 1dbcfdf6fe87→e55aa761c7f7; sha256 1207d06efe07→f2548c9eb6b7,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0529,composeApp,依赖注入,移动并修改（Git 83%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/components/ProviderConnectionTester.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/ProviderConnectionTester.kt,R083,35,23,90%,"imports: androidx.compose.material3,androidx.compose.ui,me.rerere.rikkahub → androidx.compose.material3,me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 90%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R083; blob 03100b8d9d32→5212d5d4215e; sha256 ba1603193ded→f17d5bab7679,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0530,composeApp,共享UI,移动并修改（Git 77%）,app/src/main/java/me/rerere/rikkahub/ui/pages/setting/components/TTSProviderConfigure.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/components/TTSProviderConfigure.kt,R077,113,113,89%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 89%,commonMain；未发现 Java/Android import；接口注入候选,无直接持久化标记,git=R077; blob b5c48c5bdb48→607800cb2308; sha256 ac4c6778d978→67265d482464,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0531,composeApp,依赖注入,移动并修改（Git 82%）,app/src/main/java/me/rerere/rikkahub/ui/pages/stats/StatsPage.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/stats/StatsPage.kt,R082,42,39,90%,java.time→Kotlin time/datetime,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 90%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R082; blob 50abfc865008→23cfb508f4ae; sha256 f932cdfbb65a→4ab1c389261a,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0532,composeApp,共享UI,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/stats/StatsVM.kt,A,29,0,—,"imports: — → androidx.lifecycle.ViewModel,androidx.lifecycle.viewModelScope,kotlinx.coroutines.Dispatchers,kotlinx.coroutines.delay",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,无直接持久化标记,git=A; blob —→68a3b190aad3; sha256 —→5aa85baaa1d4,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0533,composeApp,共享UI,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/translator/TranslationLanguage.kt,A,17,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,无直接持久化标记,git=A; blob —→042a859c530a; sha256 —→b9a23801fa82,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0534,composeApp,依赖注入,移动并修改（Git 76%）,app/src/main/java/me/rerere/rikkahub/ui/pages/translator/TranslatorPage.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/translator/TranslatorPage.kt,R076,32,63,84%,"imports: android.content.ClipData,androidx.compose.material3,androidx.compose.runtime,androidx.compose.ui → androidx.compose.material3,androidx.compose.ui,me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 84%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R076; blob 8c507e66907b→679221942209; sha256 bceb4848cb47→dff7f6cc011c,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0535,composeApp,共享UI,移动并修改（Git 80%）,app/src/main/java/me/rerere/rikkahub/ui/pages/translator/TranslatorVM.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/translator/TranslatorVM.kt,R080,8,11,86%,"imports: java.util.Locale,me.rerere.rikkahub → me.rerere.rikkahub",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 86%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R080; blob 226f491ec21c→a327cfd88bf3; sha256 10cd193e14ad→a21bc2633850,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0536,composeApp,依赖注入,移动并修改（Git 45%）,app/src/main/java/me/rerere/rikkahub/ui/theme/ChatFont.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/ChatFont.kt,R045,9,26,62%,"imports: android.content.Context,android.graphics.Typeface,androidx.compose.ui,java.io.File → org.koin.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 62%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R045; blob baef938b1838→a422b31fe32b; sha256 3dec8b8c7aaa→fb0cf7a85bac,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0537,composeApp,主题,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/ChatFontRuntime.kt,A,30,0,—,"imports: — → androidx.compose.ui,io.github.vinceglb",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import；接口注入候选,无直接持久化标记,git=A; blob —→9566b75d42c2; sha256 —→07b303210add,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0538,composeApp,主题,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/CodeFont.kt,A,10,0,—,"imports: — → androidx.compose.runtime,androidx.compose.ui,me.rerere.rikkahub,org.jetbrains.compose",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,无直接持久化标记,git=A; blob —→9a6b6df3f3f0; sha256 —→4919c472a639,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0539,composeApp,主题,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/CustomTheme.kt,A,13,0,—,"imports: — → kotlin.uuid.Uuid,kotlinx.serialization.Serializable",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,序列化契约,git=A; blob —→f898a12705da; sha256 —→9781c9a77130,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0540,composeApp,主题,移动并修改（Git 20%）,app/src/main/java/me/rerere/rikkahub/ui/theme/CustomTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/CustomThemeColorScheme.kt,R020,45,50,74%,"imports: kotlin.uuid.Uuid,kotlinx.serialization.Serializable → —",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 74%,commonMain；未发现 Java/Android import,序列化契约,git=R020; blob 3ddc4b108a24→833b512c906d; sha256 33b975020d3b→8a23a75a4b18,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0541,composeApp,主题,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/HslColor.kt,A,49,0,—,"imports: — → androidx.compose.ui,kotlin.math.abs,kotlin.math.max,kotlin.math.min",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,无直接持久化标记,git=A; blob —→e46a5d3c5c0b; sha256 —→e374fb6b0fee,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0542,composeApp,主题,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/PlatformTheme.kt,A,10,0,—,"imports: — → androidx.compose.material3,androidx.compose.runtime",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import；expect边界,无直接持久化标记,git=A; blob —→a7abba49735c; sha256 —→b1c448cdc182,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0543,composeApp,主题,移动并修改（Git 98%）,app/src/main/java/me/rerere/rikkahub/ui/theme/PresetTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/PresetTheme.kt,R098,1,1,97%,无可见 import 变化,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 97%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R098; blob ed03fc41116f→90ff964e89d5; sha256 4f585137bd10→ea05553e5a4e,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0544,composeApp,依赖注入,移动并修改（Git 51%）,app/src/main/java/me/rerere/rikkahub/ui/theme/Theme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/Theme.kt,R051,15,51,64%,"imports: android.app.Activity,android.os.Build,androidx.compose.material3,androidx.compose.runtime → androidx.compose.material3,androidx.lifecycle.compose,me.rerere.rikkahub,org.koin.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 64%,commonMain；未发现 Java/Android import,序列化契约,git=R051; blob 2ad927e168f6→15e58aed22ea; sha256 b2987935ff4a→8b3bd02be891,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0545,composeApp,主题,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/ThemeLocals.kt,A,15,0,—,"imports: — → androidx.compose.material3,androidx.compose.runtime",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,无直接持久化标记,git=A; blob —→cbc686ad9ecb; sha256 —→50be8e5e9def,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0546,composeApp,主题,移动并修改（Git 97%）,app/src/main/java/me/rerere/rikkahub/ui/theme/presets/AutumnTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/presets/AutumnTheme.kt,R097,3,3,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R097; blob afab7b1388d0→aaa79fb0335b; sha256 f395b259b182→2c0cf6bd4833,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0547,composeApp,主题,移动并修改（Git 97%）,app/src/main/java/me/rerere/rikkahub/ui/theme/presets/BlackTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/presets/BlackTheme.kt,R097,3,3,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R097; blob cabc92db3aa4→454941826e2f; sha256 e7763382d604→9db18c58824a,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0548,composeApp,主题,移动并修改（Git 97%）,app/src/main/java/me/rerere/rikkahub/ui/theme/presets/ClaudeTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/presets/ClaudeTheme.kt,R097,3,3,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R097; blob f05f2ac075f2→ce534aee74d7; sha256 cc9d4135f0e7→caff5458e7b8,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0549,composeApp,主题,移动并修改（Git 97%）,app/src/main/java/me/rerere/rikkahub/ui/theme/presets/MinimalTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/presets/MinimalTheme.kt,R097,3,3,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R097; blob 505a4d501106→4029e8e697ec; sha256 ebcbd4732639→560fecf4f243,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0550,composeApp,主题,移动并修改（Git 97%）,app/src/main/java/me/rerere/rikkahub/ui/theme/presets/OceanTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/presets/OceanTheme.kt,R097,3,3,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R097; blob b9fdd14b38a1→6585570f7ce9; sha256 fe0d264bddc9→0b6129af5f81,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0551,composeApp,主题,移动并修改（Git 97%）,app/src/main/java/me/rerere/rikkahub/ui/theme/presets/SakuraTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/presets/SakuraTheme.kt,R097,3,3,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R097; blob a35ea6adf385→0de22e597852; sha256 de532f0b4d9c→df8bfc867051,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0552,composeApp,主题,移动并修改（Git 97%）,app/src/main/java/me/rerere/rikkahub/ui/theme/presets/SpringTheme.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/theme/presets/SpringTheme.kt,R097,3,3,99%,"imports: androidx.compose.ui,me.rerere.rikkahub → me.rerere.rikkahub,org.jetbrains.compose",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 99%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R097; blob 01515e524ff4→0c76da3361df; sha256 bc94c37c911f→ea6fc005ee5c,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0553,composeApp,共享UI,移动并修改（Git 91%）,app/src/main/java/me/rerere/rikkahub/utils/ComposeExt.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/utils/ComposeExt.kt,R091,3,1,95%,无可见 import 变化,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 95%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R091; blob cda93869fe67→23b4e640bd33; sha256 d7c6405610dc→d765d65036f7,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0554,composeApp,通用业务,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/utils/HtmlEntities.kt,A,64,0,—,imports: — → com.mohamedrejeb.ksoup,共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,无直接持久化标记,git=A; blob —→6347738ca593; sha256 —→df670cd8660c,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0555,composeApp,通用业务,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/utils/SharedUiFormatter.kt,A,65,0,—,"imports: — → kotlin.time.Clock,kotlin.time.Instant,kotlinx.datetime.LocalDate,kotlinx.datetime.LocalDateTime",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import；expect边界,时间表示,git=A; blob —→4c7a93266c9e; sha256 —→2cdb79bb4166,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0556,composeApp,通用业务,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/utils/SpeechText.kt,A,25,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,无直接持久化标记,git=A; blob —→91ec39658008; sha256 —→3d632b6be2a0,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0557,composeApp,通用业务,移动并修改（Git 24%）,app/src/main/java/me/rerere/rikkahub/utils/StringUtils.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/utils/StringUtils.kt,R024,35,99,43%,"imports: java.net.URLDecoder,java.net.URLEncoder,org.apache.commons → io.ktor.http",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 43%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R024; blob 0cee2d341ab4→ee57efc91c68; sha256 4bed8f3b93d7→d0606854d99c,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0558,composeApp,通用业务,移动并修改（Git 66%）,app/src/main/java/me/rerere/rikkahub/utils/UpdateChecker.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/utils/UpdateChecker.kt,R066,23,48,81%,OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 81%,commonMain；未发现 Java/Android import,序列化契约、JSON/DTO,git=R066; blob b23a4b6cfc4f→0cc24bdc6923; sha256 00c781eeed5b→7351d49ecdce,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0559,composeApp,通用业务,移动并修改（Git 67%）,app/src/main/java/me/rerere/rikkahub/web/Exceptions.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/web/Exceptions.kt,R067,6,8,33%,imports: io.ktor.http → —,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 33%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R067; blob ee1407e9fff2→a6bf3752a89e; sha256 7830fc92d295→ae259ae5ce6e,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0560,composeApp,通用业务,新增实现/资源,—,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/web/WebServerRuntime.kt,A,138,0,—,"imports: — → kotlinx.coroutines.CoroutineScope,kotlinx.coroutines.Job,kotlinx.coroutines.flow,kotlinx.coroutines.launch",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import；接口注入候选,无直接持久化标记,git=A; blob —→6b7c6b6be53c; sha256 —→b73085d6b91c,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0561,composeApp,通用业务,移动并修改（Git 95%）,app/src/main/java/me/rerere/rikkahub/web/dto/WebDto.kt,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/web/dto/WebDto.kt,R095,8,7,98%,imports: — → kotlin.time.Clock,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 98%,commonMain；未发现 Java/Android import,序列化契约、时间表示、JSON/DTO,git=R095; blob f99225d0d4b5→e7984024cfab; sha256 1e6a52d86586→d08fcf036d4e,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0562,composeApp,MCP与OAuth,移动并修改（Git 95%）,app/src/test/java/me/rerere/rikkahub/data/ai/mcp/McpConnectionKeyTest.kt,composeApp/src/commonTest/kotlin/me/rerere/rikkahub/data/ai/mcp/McpConnectionKeyTest.kt,R095,3,3,100%,"imports: org.junit.Assert,org.junit.Test → kotlin.test.Test,kotlin.test.assertEquals,kotlin.test.assertNotEquals",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,commonTest,无直接持久化标记,git=R095; blob f64b6b8aae7c→327ed6be3c09; sha256 7c6d5ebcc42c→ca911e264142,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0563,composeApp,主题,新增实现/资源,—,composeApp/src/commonTest/kotlin/me/rerere/rikkahub/ui/theme/HslColorTest.kt,A,40,0,—,"imports: — → androidx.compose.ui,kotlin.test.Test,kotlin.test.assertEquals",共享实现发生变化；需用迁移前后同断言验证,commonTest；actual实现,无直接持久化标记,git=A; blob —→211b9580395a; sha256 —→91f16bfd34c9,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0564,composeApp,通用业务,新增实现/资源,—,composeApp/src/commonTest/kotlin/me/rerere/rikkahub/web/ControllerWebServerRuntimeTest.kt,A,100,0,—,"imports: — → kotlin.test.Test,kotlin.test.assertEquals,kotlin.test.assertFalse,kotlinx.coroutines.test",共享实现发生变化；需用迁移前后同断言验证,commonTest,无直接持久化标记,git=A; blob —→ac6b07491025; sha256 —→51f2063eb82d,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
